BAD,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,LoanValueRatio,JOB_missing,YOJ_missing,DEROG_missing,DELINQ_missing,NINQ_missing,DEBTINC_missing,LoanValueRatio_missing
1,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,,0.690839205637412,0,0,0,0,0,1,0
1,HomeImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,,1.0431725146198831,0,0,0,0,0,1,0
1,HomeImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,,0.8982035928143712,0,0,0,0,0,1,0
0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,,0.8883928571428571,0,0,0,0,0,1,0
1,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,0.7998015873015873,0,0,0,0,0,0,0
1,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,0.8844960288935253,0,0,0,0,0,1,0
1,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,0.704140911837152,0,0,0,0,0,0,0
1,HomeImp,Other,3.0,0.0,2.0,216.93333333,1.0,12.0,,0.7424047924689773,0,0,0,0,0,1,0
1,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,,0,0,0,0,0,1,1
1,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,,0.7592953020134228,0,0,0,0,0,1,0
1,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,,0.8545454545454545,0,0,0,0,0,1,0
0,,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,,0.7612814645308924,0,0,0,0,0,1,0
1,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,,0.8717948717948718,0,0,0,0,0,1,0
1,HomeImp,Other,,0.0,1.0,300.86666667,0.0,8.0,,0.7633983913281633,0,1,0,0,0,1,0
1,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,0.907962962962963,0,0,0,0,0,1,0
1,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,,0.7594520547945205,0,0,0,0,0,1,0
0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,0.8653774606665399,0,0,0,0,0,0,0
1,HomeImp,Other,3.0,0.0,1.0,122.26666667,1.0,14.0,,0.8641991341991342,0,0,0,0,0,1,0
1,HomeImp,ProfExe,5.0,1.0,0.0,,1.0,0.0,,0.7139450916274951,0,0,0,0,0,1,0
1,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,0.7450980392156863,0,0,0,0,0,1,0
1,HomeImp,Mgr,22.0,,2.0,121.73333333,0.0,10.0,,,0,0,1,0,0,1,1
1,HomeImp,Other,,0.0,0.0,14.566666667,3.0,4.0,,,0,1,0,0,0,1,1
1,HomeImp,Mgr,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,0.7849634513703103,0,0,0,0,0,0,0
0,HomeImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,0.8605230598575024,0,0,0,0,0,0,0
1,HomeImp,,18.0,0.0,0.0,136.06666667,1.0,19.0,,0.8663366336633663,1,0,0,0,0,1,0
1,HomeImp,Other,10.0,1.0,2.0,276.96666667,0.0,9.0,,0.7597248968363136,0,0,0,0,0,1,0
0,HomeImp,Self,,0.0,0.0,208.0,0.0,12.0,,0.21855063348009704,0,1,0,0,0,1,0
0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,,0.9403053435114503,0,0,0,0,0,1,0
1,HomeImp,Self,26.0,2.0,15.0,145.63333333,3.0,45.0,,0.849366085578447,0,0,0,0,0,1,0
1,HomeImp,Other,16.0,4.0,0.0,112.63333333,2.0,9.0,,0.11175020542317174,0,0,0,0,0,1,0
1,DebtCon,ProfExe,6.0,1.0,0.0,165.33333333,2.0,26.0,,0.7212389380530974,0,0,0,0,0,1,0
0,HomeImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286,0.949726678814275,0,0,0,0,0,0,0
0,HomeImp,Office,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028,0.8887425229076569,0,0,0,0,0,0,0
1,HomeImp,Other,16.0,3.0,0.0,122.20466276,2.0,8.0,36.211347998,0.15662686040355314,0,0,0,0,0,0,0
1,DebtCon,Mgr,2.0,0.0,0.0,282.80165924,3.0,37.0,49.20639579,0.9146442924628075,0,0,0,0,0,0,0
0,HomeImp,Office,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267,0.8836842494393283,0,0,0,0,0,0,0
1,HomeImp,Other,3.0,0.0,0.0,50.8,5.0,9.0,,0.49261083743842365,0,0,0,0,0,1,0
1,HomeImp,Other,2.0,0.0,1.0,77.766666667,0.0,3.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,1.0,0.0,1.0,23.3,1.0,2.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,8.0,0.0,0.0,130.03335846,0.0,27.0,,0.6347596899224807,0,0,0,0,0,1,0
1,DebtCon,Other,2.0,0.0,0.0,187.06666667,0.0,12.0,,0.773109243697479,0,0,0,0,0,1,0
1,HomeImp,Other,3.0,0.0,0.0,9.3,14.0,2.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,,,0,0,0,0,0,1,1
1,HomeImp,ProfExe,10.0,0.0,1.0,262.16666667,5.0,26.0,,0.6045949214026602,0,0,0,0,0,1,0
1,HomeImp,Mgr,8.5,0.0,2.0,62.366666667,0.0,10.0,,0.8179084967320261,0,0,0,0,0,1,0
0,HomeImp,Mgr,10.0,,2.0,211.93333333,0.0,25.0,,0.8531468531468531,0,0,1,0,0,1,0
0,HomeImp,Office,21.0,0.0,0.0,201.86666667,0.0,20.0,,0.8865248226950354,0,0,0,0,0,1,0
1,HomeImp,Other,1.5,0.0,0.0,153.16666667,1.0,14.0,,1.1825207756232687,0,0,0,0,0,1,0
0,HomeImp,Mgr,10.0,,1.0,206.42660206,0.0,25.0,40.115677278,0.9528203202531985,0,0,1,0,0,0,0
1,HomeImp,ProfExe,28.0,0.0,4.0,122.03333333,1.0,25.0,,0.8492295081967213,0,0,0,0,0,1,0
1,HomeImp,Other,,0.0,0.0,298.13156403,0.0,7.0,35.553538789,0.7444776411813685,0,1,0,0,0,0,0
1,HomeImp,Other,1.0,0.0,0.0,121.86666667,3.0,21.0,,0.882035466461064,0,0,0,0,0,1,0
0,HomeImp,ProfExe,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351,0.8945522884055646,0,0,0,0,0,0,0
1,HomeImp,Mgr,20.0,,2.0,117.80574784,0.0,9.0,0.5244992154,,0,0,1,0,0,0,1
1,HomeImp,Sales,9.0,1.0,0.0,139.0,0.0,36.0,,0.9651668438306065,0,0,0,0,0,1,0
1,DebtCon,Other,9.0,0.0,6.0,192.28914897,0.0,33.0,35.73055919,0.8143892597844411,0,0,0,0,0,0,0
1,HomeImp,Office,2.0,0.0,1.0,183.29991561,0.0,6.0,,0.7769230769230769,0,0,0,0,0,1,0
1,HomeImp,Other,11.0,0.0,0.0,162.36666667,0.0,14.0,,0.6905291470542596,0,0,0,0,0,1,0
1,HomeImp,Other,5.0,0.0,0.0,95.933333333,0.0,9.0,,1.1174002146969846,0,0,0,0,0,1,0
1,HomeImp,Mgr,3.0,0.0,0.0,72.033333333,2.0,4.0,,0.866831777481425,0,0,0,0,0,1,0
0,HomeImp,ProfExe,6.0,0.0,0.0,192.73333333,1.0,28.0,,0.7808586762075134,0,0,0,0,0,1,0
0,HomeImp,Mgr,9.0,,2.0,202.51077515,0.0,25.0,41.516389699,0.8488965012290152,0,0,1,0,0,0,0
0,HomeImp,Office,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382,0.9089269062165012,0,0,0,0,0,0,0
1,DebtCon,Office,13.0,1.0,4.0,97.4,0.0,17.0,,0.8542131147540983,0,0,0,0,0,1,0
0,HomeImp,Office,20.0,0.0,0.0,204.27249884,0.0,20.0,20.470915508,0.8741658722592945,0,0,0,0,0,0,0
1,HomeImp,Other,5.0,0.0,0.0,129.71732313,1.0,9.0,26.634347518,1.0195327279606508,0,0,0,0,0,0,0
1,HomeImp,Mgr,1.6,1.0,6.0,252.63333333,1.0,25.0,,0.23476845596364082,0,0,0,0,0,1,0
0,HomeImp,Office,20.0,0.0,0.0,203.75153358,0.0,20.0,20.067042051,0.8663861705983391,0,0,0,0,0,0,0
0,HomeImp,Self,,0.0,0.0,204.64799167,0.0,11.0,42.173165882,0.3332175046150505,0,1,0,0,0,0,0
1,HomeImp,Other,11.0,0.0,0.0,146.12324219,0.0,14.0,24.478881191,0.7353350739773716,0,0,0,0,0,0,0
1,HomeImp,Other,3.5,0.0,1.0,150.3,5.0,8.0,,0.832880680789426,0,0,0,0,0,1,0
0,DebtCon,ProfExe,8.0,0.0,4.0,171.66666667,1.0,31.0,,0.9003968253968254,0,0,0,0,0,1,0
0,HomeImp,Office,2.0,0.0,0.0,85.277365579,0.0,13.0,29.343921089,0.8930538478381701,0,0,0,0,0,0,0
1,DebtCon,Mgr,4.0,0.0,1.0,86.566666667,2.0,14.0,,0.6435897435897436,0,0,0,0,0,1,0
0,HomeImp,Office,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055,0.967989075496125,0,0,0,0,0,0,0
0,HomeImp,Office,21.0,0.0,0.0,205.58668003,0.0,19.0,21.806563464,0.9476504200592454,0,0,0,0,0,0,0
1,HomeImp,Other,1.5,0.0,2.0,126.53333333,3.0,12.0,,,0,0,0,0,0,1,1
1,HomeImp,Office,11.0,0.0,0.0,117.79510387,0.0,8.0,41.286491948,0.9565707133917397,0,0,0,0,0,0,0
1,HomeImp,ProfExe,22.0,3.0,1.0,85.333333333,1.0,9.0,,0.40375298008151966,0,0,0,0,0,1,0
1,DebtCon,Other,6.0,0.0,0.0,92.133333333,1.0,26.0,,0.9022043010752688,0,0,0,0,0,1,0
1,HomeImp,Other,0.5,0.0,3.0,136.13333333,0.0,15.0,,0.5956337569240795,0,0,0,0,0,1,0
1,HomeImp,Other,3.5,0.0,1.0,168.66666667,0.0,18.0,,0.8928571428571429,0,0,0,0,0,1,0
1,DebtCon,Other,,0.0,0.0,12.2,0.0,17.0,,0.5388888888888889,0,1,0,0,0,1,0
1,HomeImp,Mgr,3.5,0.0,0.0,162.0,3.0,16.0,,0.8397600685518424,0,0,0,0,0,1,0
1,HomeImp,Other,18.0,0.0,1.0,85.8,2.0,23.0,,0.686641697877653,0,0,0,0,0,1,0
0,HomeImp,Other,1.8,2.0,0.0,279.0,1.0,6.0,,0.8855154965211891,0,0,0,0,0,1,0
0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,,,1,0,0,0,0,1,1
0,HomeImp,Other,4.0,0.0,0.0,109.56666667,0.0,15.0,,0.8461538461538461,0,0,0,0,0,1,0
0,HomeImp,Sales,5.0,2.0,0.0,160.3,1.0,23.0,,1.0664166275980622,0,0,0,0,0,1,0
1,HomeImp,ProfExe,2.6,1.0,3.0,186.63333333,,9.0,,0.8387096774193549,0,0,0,0,1,1,0
1,DebtCon,Other,12.0,2.0,0.0,146.1,0.0,22.0,,1.0,0,0,0,0,0,1,0
0,HomeImp,Mgr,11.0,,1.0,212.34930388,0.0,25.0,39.128717628,0.8875684651416392,0,0,1,0,0,0,0
0,HomeImp,Mgr,10.0,,2.0,227.79298841,0.0,25.0,39.166328703,0.9953802268141655,0,0,1,0,0,0,0
1,HomeImp,Other,0.0,0.0,0.0,100.77465221,0.0,19.0,33.840919904,,0,0,0,0,0,0,1
1,HomeImp,Other,8.0,1.0,2.0,63.933333333,2.0,15.0,,0.963076923076923,0,0,0,0,0,1,0
0,DebtCon,ProfExe,7.0,0.0,4.0,165.50503695,1.0,31.0,22.27817437,0.9732746053889682,0,0,0,0,0,0,0
0,HomeImp,Office,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425,1.0257691917997906,0,0,0,0,0,0,0
1,HomeImp,Other,2.0,1.0,0.0,93.5,1.0,5.0,,0.7765057242409159,0,0,0,0,0,1,0
0,DebtCon,Sales,4.0,0.0,0.0,128.83333333,0.0,31.0,,0.9337662337662338,0,0,0,0,0,1,0
0,DebtCon,,6.0,,1.0,75.433333333,,16.0,,0.8750113461014796,1,0,1,0,1,1,0
0,HomeImp,Other,3.0,0.0,0.0,110.27866259,0.0,15.0,43.450587911,0.8495413065229709,0,0,0,0,0,0,0
0,HomeImp,Office,19.0,0.0,0.0,209.87130224,0.0,19.0,20.20803267,0.9295365641174561,0,0,0,0,0,0,0
0,DebtCon,Sales,3.0,0.0,0.0,129.93286902,0.0,31.0,34.181376516,0.9594398841139546,0,0,0,0,0,0,0
0,HomeImp,Other,6.0,0.0,0.0,105.12070881,0.0,14.0,41.806376152,0.9156314181235286,0,0,0,0,0,0,0
0,HomeImp,Other,2.0,2.0,0.0,263.97030029,0.0,5.0,36.432093937,0.9536906294125732,0,0,0,0,0,0,0
0,DebtCon,ProfExe,7.0,0.0,3.0,162.39001067,0.0,30.0,23.581079239,0.9138862358890855,0,0,0,0,0,0,0
1,DebtCon,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,39.158084834,0.897259418797016,0,0,0,0,0,0,0
0,HomeImp,Other,4.0,1.0,0.0,81.349065098,0.0,15.0,40.70530876,0.8930291956958792,0,0,0,0,0,0,0
1,HomeImp,Other,1.0,0.0,0.0,170.36666667,1.0,19.0,,0.6590909090909091,0,0,0,0,0,1,0
0,HomeImp,Other,4.0,0.0,0.0,118.76041007,0.0,14.0,41.421110521,0.9537521925120194,0,0,0,0,0,0,0
0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,11.652738796,,1,0,0,0,0,0,1
1,HomeImp,Other,5.0,,,222.6,1.0,13.0,,,0,0,1,1,0,1,1
1,HomeImp,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,,0.8409565217391304,0,0,0,0,0,1,0
1,DebtCon,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,,0.8162873563218391,0,0,0,0,0,1,0
0,HomeImp,Other,6.0,0.0,0.0,86.166666667,0.0,18.0,,1.0,0,0,0,0,0,1,0
1,HomeImp,ProfExe,4.5,2.0,0.0,203.86666667,1.0,20.0,,0.8340709470960713,0,0,0,0,0,1,0
1,HomeImp,Other,6.0,2.0,3.0,80.1,3.0,10.0,,0.8931947069943289,0,0,0,0,0,1,0
0,,Mgr,2.0,0.0,0.0,142.82439151,0.0,24.0,35.226997192,0.7470088987192017,0,0,0,0,0,0,0
0,HomeImp,Other,2.0,2.0,0.0,283.95953809,0.0,5.0,36.475473283,0.8643836235124088,0,0,0,0,0,0,0
0,DebtCon,,6.0,,0.0,54.13647743,,15.0,34.416507811,0.9849943707885938,1,0,1,0,1,0,0
1,HomeImp,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,,0.9237954600089289,0,0,0,0,0,1,0
0,HomeImp,ProfExe,6.0,0.0,0.0,182.24833156,0.0,27.0,29.20902258,0.8027808079233979,0,0,0,0,0,0,0
1,HomeImp,ProfExe,9.0,1.0,2.0,90.466666667,1.0,16.0,,0.7022222222222222,0,0,0,0,0,1,0
0,,Mgr,3.0,0.0,0.0,137.31972481,0.0,23.0,34.275293777,0.742013149365682,0,0,0,0,0,0,0
0,DebtCon,ProfExe,9.0,0.0,3.0,160.14631128,1.0,30.0,21.583760121,0.9645811543215745,0,0,0,0,0,0,0
0,HomeImp,ProfExe,7.0,0.0,0.0,275.03239483,0.0,11.0,43.717635112,0.9653618890222091,0,0,0,0,0,0,0
0,DebtCon,ProfExe,9.0,0.0,3.0,179.16257471,2.0,31.0,22.544392837,1.0037885963250615,0,0,0,0,0,0,0
0,,Mgr,2.0,0.0,0.0,141.85899895,0.0,23.0,37.76961861,0.7828178922219272,0,0,0,0,0,0,0
1,HomeImp,Other,5.0,0.0,0.0,101.74676644,0.0,8.0,33.243156978,1.3241717684859537,0,0,0,0,0,0,0
0,HomeImp,Other,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362,0.8589625428335106,0,0,0,0,0,0,0
1,HomeImp,Other,10.0,0.0,0.0,81.5,3.0,13.0,,0.8184785337685162,0,0,0,0,0,1,0
0,DebtCon,Sales,,0.0,0.0,131.93333333,0.0,22.0,,0.7170240521810028,0,1,0,0,0,1,0
1,HomeImp,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.590910018,1.071487213792684,0,0,0,0,0,0,0
0,DebtCon,ProfExe,8.0,0.0,4.0,183.63561323,0.0,30.0,22.795423552,0.9104593103045522,0,0,0,0,0,0,0
0,DebtCon,,5.0,,0.0,65.032969007,,16.0,36.699414922,0.8506889285135354,1,0,1,0,1,0,0
0,HomeImp,Other,4.0,0.0,0.0,122.59722258,0.0,15.0,40.616779346,0.8241441813509545,0,0,0,0,0,0,0
0,HomeImp,Self,,0.0,0.0,207.14348133,0.0,12.0,44.107951691,0.3266165244723844,0,1,0,0,0,0,0
0,HomeImp,ProfExe,7.0,0.0,0.0,193.63644686,0.0,28.0,25.897316482,0.8359480802715584,0,0,0,0,0,0,0
1,HomeImp,Other,10.0,0.0,0.0,65.7,1.0,5.0,,0.7828080229226361,0,0,0,0,0,1,0
1,HomeImp,Mgr,0.4,0.0,0.0,61.766666667,2.0,8.0,,0.6382978723404256,0,0,0,0,0,1,0
1,HomeImp,Mgr,5.0,0.0,1.0,58.866666667,0.0,16.0,,1.030983446932814,0,0,0,0,0,1,0
1,HomeImp,Office,3.0,0.0,0.0,100.3,0.0,14.0,,0.5385375494071146,0,0,0,0,0,1,0
1,HomeImp,Other,17.5,0.0,2.0,121.9,0.0,14.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,1.0,0.0,0.0,54.733333333,2.0,8.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,6.0,0.0,0.0,57.0,1.0,9.0,,0.771198111351564,0,0,0,0,0,1,0
1,HomeImp,Other,10.0,0.0,0.0,72.433333333,1.0,12.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,6.0,0.0,0.0,88.7,1.0,3.0,,0.8554455445544554,0,0,0,0,0,1,0
1,HomeImp,Other,,0.0,1.0,285.33333333,0.0,6.0,,,0,1,0,0,0,1,1
1,HomeImp,Other,4.0,0.0,0.0,74.633333333,3.0,9.0,,0.8093498904309715,0,0,0,0,0,1,0
1,HomeImp,Self,7.0,0.0,1.0,335.03333333,3.0,42.0,,0.2851587815942968,0,0,0,0,0,1,0
0,DebtCon,Other,1.0,0.0,0.0,125.96666667,2.0,10.0,,0.8928685714285715,0,0,0,0,0,1,0
0,DebtCon,Mgr,19.0,0.0,1.0,300.36666667,1.0,24.0,,0.8987478260869565,0,0,0,0,0,1,0
0,HomeImp,ProfExe,12.0,0.0,0.0,182.63333333,0.0,13.0,,0.8867714285714285,0,0,0,0,0,1,0
0,HomeImp,Office,10.0,,,179.83333333,,19.0,,0.8740564163686929,0,0,1,1,1,1,0
0,DebtCon,Other,1.7,0.0,0.0,276.96666667,1.0,14.0,,,0,0,0,0,0,1,1
0,HomeImp,Other,3.0,0.0,0.0,266.8,1.0,26.0,,,0,0,0,0,0,1,1
0,HomeImp,Office,1.5,0.0,0.0,51.766666667,0.0,4.0,,,0,0,0,0,0,1,1
1,HomeImp,Other,,0.0,3.0,107.13333333,10.0,5.0,,,0,1,0,0,0,1,1
0,DebtCon,ProfExe,24.0,0.0,0.0,51.766666667,3.0,14.0,,0.8483756345177665,0,0,0,0,0,1,0
0,DebtCon,ProfExe,15.0,0.0,0.0,219.13333333,1.0,18.0,,0.8032178217821783,0,0,0,0,0,1,0
1,HomeImp,Office,13.0,3.0,6.0,228.3,0.0,24.0,,0.5658920511768436,0,0,0,0,0,1,0
1,HomeImp,Mgr,16.0,0.0,0.0,133.9,1.0,34.0,,1.0156537530266343,0,0,0,0,0,1,0
1,HomeImp,Mgr,6.0,5.0,3.0,122.76666667,5.0,28.0,,0.83532518065592,0,0,0,0,0,1,0
1,DebtCon,ProfExe,0.1,0.0,0.0,131.86666667,0.0,30.0,,0.965404147270419,0,0,0,0,0,1,0
1,DebtCon,ProfExe,1.4,0.0,1.0,82.133333333,0.0,13.0,,0.8997767332549941,0,0,0,0,0,1,0
1,DebtCon,Other,2.0,1.0,0.0,222.2,1.0,6.0,,0.8964955175224124,0,0,0,0,0,1,0
1,HomeImp,Other,8.0,3.0,2.0,163.36666667,1.0,16.0,,1.3854679802955665,0,0,0,0,0,1,0
1,DebtCon,ProfExe,14.0,1.0,2.0,144.06666667,2.0,17.0,,,0,0,0,0,0,1,1
0,HomeImp,Office,10.0,,,178.6925087,,19.0,26.448197463,0.8366147368421053,0,0,1,1,1,0,0
1,HomeImp,Other,5.0,0.0,0.0,97.1,0.0,23.0,,0.893066369151161,0,0,0,0,0,1,0
0,DebtCon,Other,1.0,0.0,0.0,120.67506316,2.0,10.0,37.512708409,0.8753842199948599,0,0,0,0,0,0,0
0,,Mgr,3.0,0.0,0.0,148.72040469,0.0,23.0,36.669278612,0.7892010488574945,0,0,0,0,0,0,0
0,DebtCon,,5.0,,1.0,69.107465597,,15.0,35.025072968,1.0160701373825018,1,0,1,0,1,0,0
1,HomeImp,Other,2.0,1.0,2.0,148.34064549,0.0,14.0,46.489874001,0.6067463205089082,0,0,0,0,0,0,0
0,HomeImp,Other,2.0,0.0,0.0,257.6522064,0.0,26.0,40.952588884,,0,0,0,0,0,0,1
0,HomeImp,Other,2.0,0.0,0.0,125.13062556,0.0,14.0,42.183538672,0.8625436192178123,0,0,0,0,0,0,0
